emoticon,convert_emoji,translate_emoji,cleaned,tokenize,normalization,stemmed,stopwords_stemmed,text_string_stemmed,label
@DPP_PKB @cakimiNOW @aniesbaswedan Gus Muhaimin Iskandar pemimpin masa depan,Gus Muhaimin Iskandar pemimpin masa depan,Gus Muhaimin Iskandar pemimpin masa depan,gus muhaimin iskandar pemimpin masa depan,"['gus', 'muhaimin', 'iskandar', 'pemimpin', 'masa', 'depan']","['gus', 'muhaimin', 'iskandar', 'pemimpin', 'masa', 'depan']","['gus', 'muhaimin', 'iskandar', 'pimpin', 'masa', 'depan']","['gus', 'muhaimin', 'iskandar', 'pimpin']",gus muhaimin iskandar pimpin,positive
"#TemanPemilih, kamu perlu tahu inilah Profil Bakal Pasangan Calon Presiden dan Wakil Presiden Pemilu Tahun 2024, Anies Rasyid Baswedan dan Muhaimin Iskandar, yang diusulkan oleh Partai NasDem, PKB dan PKS  Selengkapnya, scan barcode ini yaa..  #KPUMelayani #PemiluSerentak2024 https://t.co/1zB2ll4hRc","kamu perlu tahu inilah Profil Bakal Pasangan Calon Presiden dan Wakil Presiden Pemilu Tahun 2024, Anies Rasyid Baswedan dan Muhaimin Iskandar, yang diusulkan oleh Partai NasDem, PKB dan PKS Selengkapnya, scan barcode ini yaa.. https //t.co/1zB2ll4hRc","kamu perlu tahu inilah Profil Bakal Pasangan Calon Presiden dan Wakil Presiden Pemilu Tahun 2024, Anies Rasyid Baswedan dan Muhaimin Iskandar, yang diusulkan oleh Partai NasDem, PKB dan PKS Selengkapnya, scan barcode ini yaa.. https //t.co/1zB2ll4hRc",kamu perlu tahu inilah profil bakal pasangan calon presiden dan wakil presiden pemilu tahun   anies rasyid baswedan dan muhaimin iskandar yang diusulkan oleh partai nasdem pkb dan pks selengkapnya scan barcode ini yaa   tco zb ll hrc,"['kamu', 'perlu', 'tahu', 'inilah', 'profil', 'bakal', 'pasangan', 'calon', 'presiden', 'dan', 'wakil', 'presiden', 'pemilu', 'tahun', 'anies', 'rasyid', 'baswedan', 'dan', 'muhaimin', 'iskandar', 'yang', 'diusulkan', 'oleh', 'partai', 'nasdem', 'pkb', 'dan', 'pks', 'selengkapnya', 'scan', 'barcode', 'ini', 'yaa', 'tco', 'zb', 'll', 'hrc']","['kamu', 'perlu', 'tahu', 'inilah', 'profil', 'bakal', 'pasangan', 'calon', 'presiden', 'dan', 'wakil', 'presiden', 'pemilu', 'tahun', 'anies', 'rasyid', 'baswedan', 'dan', 'muhaimin', 'iskandar', 'yang', 'diusulkan', 'oleh', 'partai', 'nasdem', 'pkb', 'dan', 'pks', 'selengkapnya', 'scan', 'barcode', 'ini', 'yaa', 'tco', 'zb', 'll', 'hrc']","['kamu', 'perlu', 'tahu', 'ini', 'profil', 'bakal', 'pasang', 'calon', 'presiden', 'dan', 'wakil', 'presiden', 'milu', 'tahun', 'anies', 'rasyid', 'baswedan', 'dan', 'muhaimin', 'iskandar', 'yang', 'usul', 'oleh', 'partai', 'nasdem', 'pkb', 'dan', 'pks', 'lengkap', 'scan', 'barcode', 'ini', 'yaa', 'tco', 'zb', 'll', 'hrc']","['profil', 'pasang', 'calon', 'presiden', 'wakil', 'presiden', 'milu', 'anies', 'rasyid', 'baswedan', 'muhaimin', 'iskandar', 'usul', 'partai', 'nasdem', 'pkb', 'pks', 'lengkap', 'scan', 'barcode', 'zb', 'll', 'hrc']",profil pasang calon presiden wakil presiden milu anies rasyid baswedan muhaimin iskandar usul partai nasdem pkb pks lengkap scan barcode zb ll hrc,neutral
Salam Perubahan _ðŸ–ðŸ’ª Wayahnya Perubahan ðŸ‡®ðŸ‡© It's Time Indonesia ðŸ‡®ðŸ‡©  #sofwahadi #calegdprri #editting #berkahselalu #jakarta #politik #kalimatanselatan #AdilJujurDamai   @official_nasdem @nasdemkalsel @damaimakkie @nasdem_banjar @dpd_nasdem_batola_kalsel  @nasdem.hsu @nasdem.hst https://t.co/zpNlucl31c,Salam Perubahan _ðŸ–ðŸ’ª Wayahnya Perubahan ðŸ‡ registered ðŸ‡ copyright It's Time Indonesia ðŸ‡ registered ðŸ‡ copyright https //t.co/zpNlucl31c,Salam Perubahan _ðŸ–ðŸ’ª Wayahnya Perubahan ðŸ‡ registered ðŸ‡ copyright It's Time Indonesia ðŸ‡ registered ðŸ‡ copyright https //t.co/zpNlucl31c,salam perubahan  wayahnya perubahan  registered  copyright its time indonesia  registered  copyright   tcozpnlucl c,"['salam', 'perubahan', 'wayahnya', 'perubahan', 'registered', 'copyright', 'its', 'time', 'indonesia', 'registered', 'copyright', 'tcozpnlucl', 'c']","['salam', 'perubahan', 'wayahnya', 'perubahan', 'registered', 'copyright', 'its', 'time', 'indonesia', 'registered', 'copyright', 'tcozpnlucl', 'c']","['salam', 'ubah', 'wayahnya', 'ubah', 'registered', 'copyright', 'its', 'time', 'indonesia', 'registered', 'copyright', 'tcozpnlucl', 'c']","['ubah', 'wayahnya', 'ubah', 'registered', 'copyright', 'its', 'time', 'indonesia', 'registered', 'copyright', 'tcozpnlucl']",ubah wayahnya ubah registered copyright its time indonesia registered copyright tcozpnlucl,positive
"Mumpung bertemu presiden, dimanfaatkan oleh Anies Baswedan untuk menyampaikan aspirasi rakyat terkait netralitas presiden dan seluruh aparat pemerintah https://t.co/o3b1A13O2F","Mumpung bertemu presiden, dimanfaatkan oleh Anies Baswedan untuk menyampaikan aspirasi rakyat terkait netralitas presiden dan seluruh aparat pemerintah https //t.co/o3b1A13O2F","Mumpung bertemu presiden, dimanfaatkan oleh Anies Baswedan untuk menyampaikan aspirasi rakyat terkait netralitas presiden dan seluruh aparat pemerintah https //t.co/o3b1A13O2F",mumpung bertemu presiden dimanfaatkan oleh anies baswedan untuk menyampaikan aspirasi rakyat terkait netralitas presiden dan seluruh aparat pemerintah   tcoo b a o f,"['mumpung', 'bertemu', 'presiden', 'dimanfaatkan', 'oleh', 'anies', 'baswedan', 'untuk', 'menyampaikan', 'aspirasi', 'rakyat', 'terkait', 'netralitas', 'presiden', 'dan', 'seluruh', 'aparat', 'pemerintah', 'tcoo', 'b', 'a', 'o', 'f']","['mumpung', 'bertemu', 'presiden', 'dimanfaatkan', 'oleh', 'anies', 'baswedan', 'untuk', 'menyampaikan', 'aspirasi', 'rakyat', 'terkait', 'netralitas', 'presiden', 'dan', 'seluruh', 'aparat', 'pemerintah', 'tcoo', 'b', 'a', 'o', 'f']","['mumpung', 'temu', 'presiden', 'manfaat', 'oleh', 'anies', 'baswedan', 'untuk', 'sampai', 'aspirasi', 'rakyat', 'kait', 'netralitas', 'presiden', 'dan', 'seluruh', 'aparat', 'perintah', 'tcoo', 'b', 'a', 'o', 'f']","['mumpung', 'temu', 'presiden', 'manfaat', 'anies', 'baswedan', 'aspirasi', 'rakyat', 'kait', 'netralitas', 'presiden', 'aparat', 'perintah', 'tcoo']",mumpung temu presiden manfaat anies baswedan aspirasi rakyat kait netralitas presiden aparat perintah tcoo,neutral
@cakimiNOW @ganjarpranowo So sweet saling sapa.  Folower dibawah jangan pada ribut. Santun dan damai.   Pokoke di tobong TPS langsung coblos Anies Cak Imin.,So sweet saling sapa. Folower dibawah jangan pada ribut. Santun dan damai. Pokoke di tobong TPS langsung coblos Anies Cak Imin.,So sweet saling sapa. Folower dibawah jangan pada ribut. Santun dan damai. Pokoke di tobong TPS langsung coblos Anies Cak Imin.,so sweet saling sapa folower dibawah jangan pada ribut santun dan damai pokoke di tobong tps langsung coblos anies cak imin,"['so', 'sweet', 'saling', 'sapa', 'folower', 'dibawah', 'jangan', 'pada', 'ribut', 'santun', 'dan', 'damai', 'pokoke', 'di', 'tobong', 'tps', 'langsung', 'coblos', 'anies', 'cak', 'imin']","['so', 'sweet', 'saling', 'sapa', 'folower', 'dibawah', 'jangan', 'pada', 'ribut', 'santun', 'dan', 'damai', 'pokoke', 'di', 'tobong', 'tps', 'langsung', 'coblos', 'anies', 'cak', 'imin']","['so', 'sweet', 'saling', 'sapa', 'folower', 'bawah', 'jangan', 'pada', 'ribut', 'santun', 'dan', 'damai', 'pokoke', 'di', 'tobong', 'tps', 'langsung', 'coblos', 'anies', 'cak', 'imin']","['sweet', 'sapa', 'folower', 'ribut', 'santun', 'damai', 'pokoke', 'tobong', 'tps', 'coblos', 'anies', 'cak', 'imin']",sweet sapa folower ribut santun damai pokoke tobong tps coblos anies cak imin,positive
@aniesbaswedan @PKSejahtera @NasDem @DPP_PKB @cakimiNOW Kanda Anies Pilihan Kami ðŸ˜,Kanda Anies Pilihan Kami ðŸ˜,Kanda Anies Pilihan Kami ðŸ˜,kanda anies pilihan kami ,"['kanda', 'anies', 'pilihan', 'kami']","['kanda', 'anies', 'pilihan', 'kami']","['kanda', 'anies', 'pilih', 'kami']","['kanda', 'anies', 'pilih']",kanda anies pilih,positive
"@aniesbaswedan @cakimiNOW @NasDem @PKSejahtera @DPP_PKB Apa yg akan kita lakukan nti pak jika suara kita di curangi? Krn kecurangan sangat mgkn akan terjadi,krn kpu,bawaslu,Mk itu mreka smua yg kuasai. Mengadu ke Mk pun bakal gk berguna. Mohon penjelasan nya pak,krn situasi negara sudah sangat genting.","Apa yg akan kita lakukan nti pak jika suara kita di curangi? Krn kecurangan sangat mgkn akan terjadi,krn kpu,bawaslu,Mk itu mreka smua yg kuasai. Mengadu ke Mk pun bakal gk berguna. Mohon penjelasan nya pak,krn situasi negara sudah sangat genting.","Apa yg akan kita lakukan nti pak jika suara kita di curangi? Krn kecurangan sangat mgkn akan terjadi,krn kpu,bawaslu,Mk itu mreka smua yg kuasai. Mengadu ke Mk pun bakal gk berguna. Mohon penjelasan nya pak,krn situasi negara sudah sangat genting.",apa yg akan kita lakukan nti pak jika suara kita di curangi krn kecurangan sangat mgkn akan terjadikrn kpubawaslumk itu mreka smua yg kuasai mengadu ke mk pun bakal gk berguna mohon penjelasan nya pakkrn situasi negara sudah sangat genting,"['apa', 'yg', 'akan', 'kita', 'lakukan', 'nti', 'pak', 'jika', 'suara', 'kita', 'di', 'curangi', 'krn', 'kecurangan', 'sangat', 'mgkn', 'akan', 'terjadikrn', 'kpubawaslumk', 'itu', 'mreka', 'smua', 'yg', 'kuasai', 'mengadu', 'ke', 'mk', 'pun', 'bakal', 'gk', 'berguna', 'mohon', 'penjelasan', 'nya', 'pakkrn', 'situasi', 'negara', 'sudah', 'sangat', 'genting']","['apa', 'yg', 'akan', 'kita', 'lakukan', 'nti', 'pak', 'jika', 'suara', 'kita', 'di', 'curangi', 'karena', 'kecurangan', 'sangat', 'mgkn', 'akan', 'terjadikrn', 'kpubawaslumk', 'itu', 'mreka', 'smua', 'yg', 'kuasai', 'mengadu', 'ke', 'mk', 'pun', 'bakal', 'gk', 'berguna', 'mohon', 'penjelasan', 'nya', 'pakkrn', 'situasi', 'negara', 'sudah', 'sangat', 'genting']","['apa', 'yg', 'akan', 'kita', 'laku', 'nti', 'pak', 'jika', 'suara', 'kita', 'di', 'curang', 'karena', 'curang', 'sangat', 'mgkn', 'akan', 'terjadikrn', 'kpubawaslumk', 'itu', 'mreka', 'smua', 'yg', 'kuasa', 'adu', 'ke', 'mk', 'pun', 'bakal', 'gk', 'guna', 'mohon', 'jelas', 'nya', 'pakkrn', 'situasi', 'negara', 'sudah', 'sangat', 'genting']","['nti', 'suara', 'curang', 'curang', 'mgkn', 'terjadikrn', 'kpubawaslumk', 'mreka', 'smua', 'kuasa', 'adu', 'mk', 'pakkrn', 'situasi', 'negara', 'genting']",nti suara curang curang mgkn terjadikrn kpubawaslumk mreka smua kuasa adu mk pakkrn situasi negara genting,negative
"PKB Jadi Kendaraan Cak Imin untuk Dekati NU, Optimistis Kantongi Tiga Perempat Suaranya https://t.co/o2Qg3j67VC","PKB Jadi Kendaraan Cak Imin untuk Dekati NU, Optimistis Kantongi Tiga Perempat Suaranya https //t.co/o2Qg3j67VC","PKB Jadi Kendaraan Cak Imin untuk Dekati NU, Optimistis Kantongi Tiga Perempat Suaranya https //t.co/o2Qg3j67VC",pkb jadi kendaraan cak imin untuk dekati nu optimistis kantongi tiga perempat suaranya   tcoo qg j vc,"['pkb', 'jadi', 'kendaraan', 'cak', 'imin', 'untuk', 'dekati', 'nu', 'optimistis', 'kantongi', 'tiga', 'perempat', 'suaranya', 'tcoo', 'qg', 'j', 'vc']","['pkb', 'jadi', 'kendaraan', 'cak', 'imin', 'untuk', 'dekati', 'nu', 'optimistis', 'kantongi', 'tiga', 'perempat', 'suaranya', 'tcoo', 'qg', 'j', 'vc']","['pkb', 'jadi', 'kendara', 'cak', 'imin', 'untuk', 'dekat', 'nu', 'optimistis', 'kantong', 'tiga', 'empat', 'suara', 'tcoo', 'qg', 'j', 'vc']","['pkb', 'kendara', 'cak', 'imin', 'nu', 'optimistis', 'kantong', 'suara', 'tcoo', 'qg', 'vc']",pkb kendara cak imin nu optimistis kantong suara tcoo qg vc,neutral
"#TemanPemilih, kamu perlu tahu inilah Profil Bakal Pasangan Calon Presiden dan Wakil Presiden Pemilu Tahun 2024, Anies Rasyid Baswedan dan Muhaimin Iskandar, yang diusulkan oleh Partai NasDem, PKB dan PKS Selengkapnya, scan barcode ini yaa.. #KPUMelayani #PemiluSerentak2024 https://t.co/2pGxX108W1","kamu perlu tahu inilah Profil Bakal Pasangan Calon Presiden dan Wakil Presiden Pemilu Tahun 2024, Anies Rasyid Baswedan dan Muhaimin Iskandar, yang diusulkan oleh Partai NasDem, PKB dan PKS Selengkapnya, scan barcode ini yaa.. https //t.co/2pGxX108W1","kamu perlu tahu inilah Profil Bakal Pasangan Calon Presiden dan Wakil Presiden Pemilu Tahun 2024, Anies Rasyid Baswedan dan Muhaimin Iskandar, yang diusulkan oleh Partai NasDem, PKB dan PKS Selengkapnya, scan barcode ini yaa.. https //t.co/2pGxX108W1",kamu perlu tahu inilah profil bakal pasangan calon presiden dan wakil presiden pemilu tahun   anies rasyid baswedan dan muhaimin iskandar yang diusulkan oleh partai nasdem pkb dan pks selengkapnya scan barcode ini yaa   tco pgxx w ,"['kamu', 'perlu', 'tahu', 'inilah', 'profil', 'bakal', 'pasangan', 'calon', 'presiden', 'dan', 'wakil', 'presiden', 'pemilu', 'tahun', 'anies', 'rasyid', 'baswedan', 'dan', 'muhaimin', 'iskandar', 'yang', 'diusulkan', 'oleh', 'partai', 'nasdem', 'pkb', 'dan', 'pks', 'selengkapnya', 'scan', 'barcode', 'ini', 'yaa', 'tco', 'pgxx', 'w']","['kamu', 'perlu', 'tahu', 'inilah', 'profil', 'bakal', 'pasangan', 'calon', 'presiden', 'dan', 'wakil', 'presiden', 'pemilu', 'tahun', 'anies', 'rasyid', 'baswedan', 'dan', 'muhaimin', 'iskandar', 'yang', 'diusulkan', 'oleh', 'partai', 'nasdem', 'pkb', 'dan', 'pks', 'selengkapnya', 'scan', 'barcode', 'ini', 'yaa', 'tco', 'pgxx', 'w']","['kamu', 'perlu', 'tahu', 'ini', 'profil', 'bakal', 'pasang', 'calon', 'presiden', 'dan', 'wakil', 'presiden', 'milu', 'tahun', 'anies', 'rasyid', 'baswedan', 'dan', 'muhaimin', 'iskandar', 'yang', 'usul', 'oleh', 'partai', 'nasdem', 'pkb', 'dan', 'pks', 'lengkap', 'scan', 'barcode', 'ini', 'yaa', 'tco', 'pgxx', 'w']","['profil', 'pasang', 'calon', 'presiden', 'wakil', 'presiden', 'milu', 'anies', 'rasyid', 'baswedan', 'muhaimin', 'iskandar', 'usul', 'partai', 'nasdem', 'pkb', 'pks', 'lengkap', 'scan', 'barcode', 'pgxx']",profil pasang calon presiden wakil presiden milu anies rasyid baswedan muhaimin iskandar usul partai nasdem pkb pks lengkap scan barcode pgxx,neutral
Kehadiran Anies dan Cak Imin di Depok disambut riuh oleh massa pendukung yang hadir. #newsupdate #update #news #text https://t.co/ePZO89r9qs,Kehadiran Anies dan Cak Imin di Depok disambut riuh oleh massa pendukung yang hadir. https //t.co/ePZO89r9qs,Kehadiran Anies dan Cak Imin di Depok disambut riuh oleh massa pendukung yang hadir. https //t.co/ePZO89r9qs,kehadiran anies dan cak imin di depok disambut riuh oleh massa pendukung yang hadir   tcoepzo r qs,"['kehadiran', 'anies', 'dan', 'cak', 'imin', 'di', 'depok', 'disambut', 'riuh', 'oleh', 'massa', 'pendukung', 'yang', 'hadir', 'tcoepzo', 'r', 'qs']","['kehadiran', 'anies', 'dan', 'cak', 'imin', 'di', 'depok', 'disambut', 'riuh', 'oleh', 'massa', 'pendukung', 'yang', 'hadir', 'tcoepzo', 'r', 'qs']","['hadir', 'anies', 'dan', 'cak', 'imin', 'di', 'depok', 'sambut', 'riuh', 'oleh', 'massa', 'dukung', 'yang', 'hadir', 'tcoepzo', 'r', 'qs']","['hadir', 'anies', 'cak', 'imin', 'depok', 'sambut', 'riuh', 'massa', 'dukung', 'hadir', 'tcoepzo', 'qs']",hadir anies cak imin depok sambut riuh massa dukung hadir tcoepzo qs,positive
"@aniesbaswedan @NasDem @PKSejahtera @DPP_PKB @cakimiNOW Kalo anak tdk perlu saya ceritain, tp saya suruh coblos sampean bung... ðŸ˜€","Kalo anak tdk perlu saya ceritain, tp saya suruh coblos sampean bung... ðŸ˜€","Kalo anak tdk perlu saya ceritain, tp saya suruh coblos sampean bung... ðŸ˜€",kalo anak tdk perlu saya ceritain tp saya suruh coblos sampean bung ,"['kalo', 'anak', 'tdk', 'perlu', 'saya', 'ceritain', 'tp', 'saya', 'suruh', 'coblos', 'sampean', 'bung']","['kalo', 'anak', 'tidak', 'perlu', 'saya', 'ceritain', 'tp', 'saya', 'suruh', 'coblos', 'sampean', 'bung']","['kalo', 'anak', 'tidak', 'perlu', 'saya', 'ceritain', 'tp', 'saya', 'suruh', 'coblos', 'sampean', 'bung']","['anak', 'ceritain', 'suruh', 'coblos', 'sampean']",anak ceritain suruh coblos sampean,positive
@voiceofpkb @aniesbaswedan @cakimiNOW Mantap Gus Muhaimin Iskandar dan Sukses Selalu PKB,Mantap Gus Muhaimin Iskandar dan Sukses Selalu PKB,Mantap Gus Muhaimin Iskandar dan Sukses Selalu PKB,mantap gus muhaimin iskandar dan sukses selalu pkb,"['mantap', 'gus', 'muhaimin', 'iskandar', 'dan', 'sukses', 'selalu', 'pkb']","['mantap', 'gus', 'muhaimin', 'iskandar', 'dan', 'sukses', 'selalu', 'pkb']","['mantap', 'gus', 'muhaimin', 'iskandar', 'dan', 'sukses', 'selalu', 'pkb']","['mantap', 'gus', 'muhaimin', 'iskandar', 'sukses', 'pkb']",mantap gus muhaimin iskandar sukses pkb,positive
@aniesbaswedan @PKSejahtera @NasDem @DPP_PKB @cakimiNOW AMIN RI-1-2 AMANAH,AMIN RI-1-2 AMANAH,AMIN RI-1-2 AMANAH,amin ri   amanah,"['amin', 'ri', 'amanah']","['amin', 'ri', 'amanah']","['amin', 'ri', 'amanah']","['amin', 'ri', 'amanah']",amin ri amanah,positive
@DPP_PKB @cakimiNOW @aniesbaswedan Bakri Hading Mantap Gus Muhaimin Iskandar dan Anis luar biasa,Bakri Hading Mantap Gus Muhaimin Iskandar dan Anis luar biasa,Bakri Hading Mantap Gus Muhaimin Iskandar dan Anis luar biasa,bakri hading mantap gus muhaimin iskandar dan anis luar biasa,"['bakri', 'hading', 'mantap', 'gus', 'muhaimin', 'iskandar', 'dan', 'anis', 'luar', 'biasa']","['bakri', 'hading', 'mantap', 'gus', 'muhaimin', 'iskandar', 'dan', 'anis', 'luar', 'biasa']","['bakri', 'hading', 'mantap', 'gus', 'muhaimin', 'iskandar', 'dan', 'anis', 'luar', 'biasa']","['bakri', 'hading', 'mantap', 'gus', 'muhaimin', 'iskandar', 'anis']",bakri hading mantap gus muhaimin iskandar anis,positive
Anis cak Imin pemersatu umat dan bangsa......kita kuatkan dari orang yg memecah belah bangsa.......,Anis cak Imin pemersatu umat dan bangsa......kita kuatkan dari orang yg memecah belah bangsa.......,Anis cak Imin pemersatu umat dan bangsa......kita kuatkan dari orang yg memecah belah bangsa.......,anis cak imin pemersatu umat dan bangsakita kuatkan dari orang yg memecah belah bangsa,"['anis', 'cak', 'imin', 'pemersatu', 'umat', 'dan', 'bangsakita', 'kuatkan', 'dari', 'orang', 'yg', 'memecah', 'belah', 'bangsa']","['anis', 'cak', 'imin', 'pemersatu', 'umat', 'dan', 'bangsakita', 'kuatkan', 'dari', 'orang', 'yg', 'memecah', 'belah', 'bangsa']","['anis', 'cak', 'imin', 'satu', 'umat', 'dan', 'bangsakita', 'kuat', 'dari', 'orang', 'yg', 'pecah', 'belah', 'bangsa']","['anis', 'cak', 'imin', 'umat', 'bangsakita', 'kuat', 'pecah', 'belah', 'bangsa']",anis cak imin umat bangsakita kuat pecah belah bangsa,positive
Calon wakil presiden (cawapres) Koalisi Perubahan Muhaimin Iskandar atau Cak Imin sedang menargetkan Susi Pudjiastuti bergabung ke dalam tim pemenangan nasional Anies Baswedan dan Cak Imin (AMIN).  #threadtvOne https://t.co/mttUhJaTVK,Calon wakil presiden (cawapres) Koalisi Perubahan Muhaimin Iskandar atau Cak Imin sedang menargetkan Susi Pudjiastuti bergabung ke dalam tim pemenangan nasional Anies Baswedan dan Cak Imin (AMIN). https //t.co/mttUhJaTVK,Calon wakil presiden (cawapres) Koalisi Perubahan Muhaimin Iskandar atau Cak Imin sedang menargetkan Susi Pudjiastuti bergabung ke dalam tim pemenangan nasional Anies Baswedan dan Cak Imin (AMIN). https //t.co/mttUhJaTVK,calon wakil presiden cawapres koalisi perubahan muhaimin iskandar atau cak imin sedang menargetkan susi pudjiastuti bergabung ke dalam tim pemenangan nasional anies baswedan dan cak imin amin   tcomttuhjatvk,"['calon', 'wakil', 'presiden', 'cawapres', 'koalisi', 'perubahan', 'muhaimin', 'iskandar', 'atau', 'cak', 'imin', 'sedang', 'menargetkan', 'susi', 'pudjiastuti', 'bergabung', 'ke', 'dalam', 'tim', 'pemenangan', 'nasional', 'anies', 'baswedan', 'dan', 'cak', 'imin', 'amin', 'tcomttuhjatvk']","['calon', 'wakil', 'presiden', 'cawapres', 'koalisi', 'perubahan', 'muhaimin', 'iskandar', 'atau', 'cak', 'imin', 'sedang', 'menargetkan', 'susi', 'pudjiastuti', 'bergabung', 'ke', 'dalam', 'tim', 'pemenangan', 'nasional', 'anies', 'baswedan', 'dan', 'cak', 'imin', 'amin', 'tcomttuhjatvk']","['calon', 'wakil', 'presiden', 'cawapres', 'koalisi', 'ubah', 'muhaimin', 'iskandar', 'atau', 'cak', 'imin', 'sedang', 'target', 'sus', 'pudjiastuti', 'gabung', 'ke', 'dalam', 'tim', 'menang', 'nasional', 'anies', 'baswedan', 'dan', 'cak', 'imin', 'amin', 'tcomttuhjatvk']","['calon', 'wakil', 'presiden', 'cawapres', 'koalisi', 'ubah', 'muhaimin', 'iskandar', 'cak', 'imin', 'target', 'sus', 'pudjiastuti', 'gabung', 'tim', 'menang', 'nasional', 'anies', 'baswedan', 'cak', 'imin', 'amin', 'tcomttuhjatvk']",calon wakil presiden cawapres koalisi ubah muhaimin iskandar cak imin target sus pudjiastuti gabung tim menang nasional anies baswedan cak imin amin tcomttuhjatvk,neutral
"CAWAPRES MEMANAS... TANGGAPI GIBRAN SOAL DANA ABADI PESANTREN,   CAK IMIN, UDAH DARI DUA TAHUN LALU"" ....â€¼ï¸  #BongkarKebobrokanHakimMK #BongkarKebobrokanHakimMK ðŸ†˜ðŸ†— https://t.co/RAq29UXsCr""","CAWAPRES MEMANAS... TANGGAPI GIBRAN SOAL DANA ABADI PESANTREN, CAK IMIN, UDAH DARI DUA TAHUN LALU"" ....â€¼ï¸ ðŸ†˜ðŸ†— https //t.co/RAq29UXsCr""","CAWAPRES MEMANAS... TANGGAPI GIBRAN SOAL DANA ABADI PESANTREN, CAK IMIN, UDAH DARI DUA TAHUN LALU"" ....â€¼ï¸ ðŸ†˜ðŸ†— https //t.co/RAq29UXsCr""",cawapres memanas tanggapi gibran soal dana abadi pesantren cak imin udah dari dua tahun lalu     tcoraq uxscr,"['cawapres', 'memanas', 'tanggapi', 'gibran', 'soal', 'dana', 'abadi', 'pesantren', 'cak', 'imin', 'udah', 'dari', 'dua', 'tahun', 'lalu', 'tcoraq', 'uxscr']","['cawapres', 'memanas', 'tanggapi', 'gibran', 'soal', 'dana', 'abadi', 'pesantren', 'cak', 'imin', 'udah', 'dari', 'dua', 'tahun', 'lalu', 'tcoraq', 'uxscr']","['cawapres', 'panas', 'tanggap', 'gibran', 'soal', 'dana', 'abadi', 'pesantren', 'cak', 'imin', 'udah', 'dari', 'dua', 'tahun', 'lalu', 'tcoraq', 'uxscr']","['cawapres', 'panas', 'tanggap', 'gibran', 'dana', 'abadi', 'pesantren', 'cak', 'imin', 'tcoraq', 'uxscr']",cawapres panas tanggap gibran dana abadi pesantren cak imin tcoraq uxscr,positive
@dewiirawan13 ðŸ§‘ :  saya kira malah Ibu jadi loyalis anies cak imin ðŸ˜ðŸ˜,ðŸ§‘ saya kira malah Ibu jadi loyalis anies cak imin ðŸ˜ðŸ˜,ðŸ§‘ saya kira malah Ibu jadi loyalis anies cak imin ðŸ˜ðŸ˜, saya kira malah ibu jadi loyalis anies cak imin ,"['saya', 'kira', 'malah', 'ibu', 'jadi', 'loyalis', 'anies', 'cak', 'imin']","['saya', 'kira', 'malah', 'ibu', 'jadi', 'loyalis', 'anies', 'cak', 'imin']","['saya', 'kira', 'malah', 'ibu', 'jadi', 'loyalis', 'anies', 'cak', 'imin']","['loyalis', 'anies', 'cak', 'imin']",loyalis anies cak imin,positive
"Sekjen Nasdem, Hermawi Taslim menyatakan, langkah Presiden Jokowi mengundang tiga capres ke istana merupakan wujud mendukung ketiga capres.&amp nbsp &amp nbsp  https://t.co/DMP65PChbK","Sekjen Nasdem, Hermawi Taslim menyatakan, langkah Presiden Jokowi mengundang tiga capres ke istana merupakan wujud mendukung ketiga capres.&amp nbsp &amp nbsp https //t.co/DMP65PChbK","Sekjen Nasdem, Hermawi Taslim menyatakan, langkah Presiden Jokowi mengundang tiga capres ke istana merupakan wujud mendukung ketiga capres.&amp nbsp &amp nbsp https //t.co/DMP65PChbK",sekjen nasdem hermawi taslim menyatakan langkah presiden jokowi mengundang tiga capres ke istana merupakan wujud mendukung ketiga capresamp nbsp amp nbsp   tcodmp pchbk,"['sekjen', 'nasdem', 'hermawi', 'taslim', 'menyatakan', 'langkah', 'presiden', 'jokowi', 'mengundang', 'tiga', 'capres', 'ke', 'istana', 'merupakan', 'wujud', 'mendukung', 'ketiga', 'capresamp', 'nbsp', 'amp', 'nbsp', 'tcodmp', 'pchbk']","['sekjen', 'nasdem', 'hermawi', 'taslim', 'menyatakan', 'langkah', 'presiden', 'jokowi', 'mengundang', 'tiga', 'capres', 'ke', 'istana', 'merupakan', 'wujud', 'mendukung', 'ketiga', 'capresamp', 'nbsp', 'amp', 'nbsp', 'tcodmp', 'pchbk']","['sekjen', 'nasdem', 'hermawi', 'taslim', 'nyata', 'langkah', 'presiden', 'jokowi', 'undang', 'tiga', 'capres', 'ke', 'istana', 'rupa', 'wujud', 'dukung', 'tiga', 'capresamp', 'nbsp', 'amp', 'nbsp', 'tcodmp', 'pchbk']","['sekjen', 'nasdem', 'hermawi', 'taslim', 'langkah', 'presiden', 'jokowi', 'undang', 'capres', 'istana', 'wujud', 'dukung', 'capresamp', 'nbsp', 'nbsp', 'tcodmp', 'pchbk']",sekjen nasdem hermawi taslim langkah presiden jokowi undang capres istana wujud dukung capresamp nbsp nbsp tcodmp pchbk,neutral
